name,rating,price,cores,core_clock,boost_clock,tdp,link
AMD Ryzen 5 7600X 4.7 GHz 6-Core Processor,5.0,$299.99,6,4.7,5.3,105,https://www.amazon.com/dp/B0BBJDS62N?tag=bgfg-pc-builder-us-20
AMD Ryzen 7 9800X3D 4.7 GHz 8-Core Processor,5.0,$689.89,8,4.7,N/A,120,https://www.amazon.com/dp/B0DKFMSMYK?tag=bgfg-pc-builder-us-20
AMD Ryzen 7 7800X3D 4.2 GHz 8-Core Processor,4.9,$384.99,8,4.2,5.0,120,https://www.amazon.com/dp/B0BTZB7F88?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 5600X 3.7 GHz 6-Core Processor,4.9,$229.99,6,3.7,4.6,65,https://www.amazon.com/dp/B08166SLDF?tag=bgfg-pc-builder-us-20
AMD Ryzen 7 7700X 4.5 GHz 8-Core Processor,,$399.99,8,4.5,5.4,105,https://www.amazon.com/dp/B0BBHHT8LY?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 5500 3.6 GHz 6-Core Processor,4.8,$127.79,6,3.6,4.2,65,https://www.amazon.com/dp/B09VCJ171S?tag=bgfg-pc-builder-us-20
AMD Ryzen 7 9700X 3.8 GHz 8-Core Processor,,,8,3.8,N/A,65,https://www.amazon.com/s?k=AMD+Ryzen+7+9700X+3.8+GHz+8-Core+Processor&tag=bgfg-pc-builder-us-20
Intel Core i9-14900K 3.2 GHz 24-Core Processor,4.9,$576.64,24,3.2,6.0,125,https://www.amazon.com/dp/B0CGJDKLB8?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 7600 3.8 GHz 6-Core Processor,4.8,$229.00,6,3.8,5.1,65,https://www.amazon.com/dp/B0BMQJWBDM?tag=bgfg-pc-builder-us-20
AMD Ryzen 7 5800X 3.8 GHz 8-Core Processor,4.8,$269.00,8,3.8,4.7,105,https://www.amazon.com/dp/B0815XFSGK?tag=bgfg-pc-builder-us-20
AMD Ryzen 7 5700X3D 3 GHz 8-Core Processor,5.0,$247.00,8,3.0,N/A,105,https://www.amazon.com/dp/B0CQ4H4H7X?tag=bgfg-pc-builder-us-20
Intel Core i5-12400F 2.5 GHz 6-Core Processor,4.9,$174.99,6,2.5,4.4,65,https://www.amazon.com/dp/B09NPJRDGD?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 5600 3.5 GHz 6-Core Processor,5.0,$158.79,6,3.5,4.4,65,https://www.amazon.com/dp/B09VCHR1VH?tag=bgfg-pc-builder-us-20
AMD Ryzen 9 9950X 4.3 GHz 16-Core Processor,,,16,4.3,N/A,170,https://www.amazon.com/s?k=AMD+Ryzen+9+9950X+4.3+GHz+16-Core+Processor&tag=bgfg-pc-builder-us-20
Intel Core i7-14700K 3.4 GHz 20-Core Processor,5.0,$401.55,20,3.4,5.6,125,https://www.amazon.com/dp/B0CGJ41C9W?tag=bgfg-pc-builder-us-20
AMD Ryzen 7 5700X 3.4 GHz 8-Core Processor,5.0,$223.51,8,3.4,4.6,65,https://www.amazon.com/dp/B09VCHQHZ6?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 9600X 3.9 GHz 6-Core Processor,,,6,3.9,N/A,65,https://www.amazon.com/s?k=AMD+Ryzen+5+9600X+3.9+GHz+6-Core+Processor&tag=bgfg-pc-builder-us-20
AMD Ryzen 9 7900X 4.7 GHz 12-Core Processor,,$549.00,12,4.7,5.6,170,https://www.amazon.com/dp/B0BBJ59WJ4?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 3600 3.6 GHz 6-Core Processor,4.9,$113.99,6,3.6,4.2,65,https://www.amazon.com/dp/B07STGGQ18?tag=bgfg-pc-builder-us-20
Intel Core i7-12700K 3.6 GHz 12-Core Processor,4.9,$369.99,12,3.6,5.0,125,https://www.amazon.com/dp/B09FXNVDBJ?tag=bgfg-pc-builder-us-20
AMD Ryzen 9 7950X3D 4.2 GHz 16-Core Processor,,$699.99,16,4.2,5.7,120,https://www.amazon.com/s?k=AMD+Ryzen+9+7950X3D+4.2+GHz+16-Core+Processor&tag=bgfg-pc-builder-us-20
AMD Ryzen 9 9900X 4.4 GHz 12-Core Processor,,,12,4.4,N/A,120,https://www.amazon.com/s?k=AMD+Ryzen+9+9900X+4.4+GHz+12-Core+Processor&tag=bgfg-pc-builder-us-20
AMD Ryzen 5 7500F 3.7 GHz 6-Core Processor,,,6,3.7,5.0,65,https://www.amazon.com/s?k=AMD+Ryzen+5+7500F+3.7+GHz+6-Core+Processor&tag=bgfg-pc-builder-us-20
Intel Core i7-12700KF 3.6 GHz 12-Core Processor,5.0,$379.99,12,3.6,5.0,125,https://www.amazon.com/dp/B09FXKHN7M?tag=bgfg-pc-builder-us-20
AMD Ryzen 9 5900X 3.7 GHz 12-Core Processor,4.9,$347.49,12,3.7,4.8,105,https://www.amazon.com/dp/B08164VTWH?tag=bgfg-pc-builder-us-20
AMD Ryzen 7 7700 3.6 GHz 8-Core Processor,5.0,$328.99,8,3.6,5.3,65,https://www.amazon.com/dp/B0BMQHSCVF?tag=bgfg-pc-builder-us-20
AMD Ryzen 7 3700X 3.6 GHz 8-Core Processor,4.9,$164.13,8,3.6,4.4,65,https://www.amazon.com/dp/B07SXMZLPK?tag=bgfg-pc-builder-us-20
Intel Core i5-12600KF 3.7 GHz 10-Core Processor,4.9,$279.00,10,3.7,4.9,125,https://www.amazon.com/dp/B09FXFJW2F?tag=bgfg-pc-builder-us-20
Intel Core i5-12600K 3.7 GHz 10-Core Processor,5.0,$277.99,10,3.7,4.9,125,https://www.amazon.com/dp/B09FX4D72T?tag=bgfg-pc-builder-us-20
Intel Core i9-12900K 3.2 GHz 16-Core Processor,4.9,$499.99,16,3.2,5.2,125,https://www.amazon.com/dp/B09FXDLX95?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 8500G 4.1 GHz 6-Core Processor,,$179.00,6,4.1,N/A,65,https://www.amazon.com/dp/B0CQ4JV8D5?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 5600G 3.9 GHz 6-Core Processor,4.8,$151.99,6,3.9,4.4,65,https://www.amazon.com/dp/B092L9GF5N?tag=bgfg-pc-builder-us-20
Intel Core i3-12100F 3.3 GHz Quad-Core Processor,5.0,$104.99,4,3.3,4.3,58,https://www.amazon.com/dp/B09NPJX7PV?tag=bgfg-pc-builder-us-20
Intel Core i5-14600K 3.5 GHz 14-Core Processor,4.0,$316.99,14,3.5,5.3,125,https://www.amazon.com/dp/B0CGJ9STNF?tag=bgfg-pc-builder-us-20
Intel Core i7-13700K 3.4 GHz 16-Core Processor,,$439.99,16,3.4,5.4,125,https://www.amazon.com/s?k=Intel+Core+i7-13700K+3.4+GHz+16-Core+Processor&tag=bgfg-pc-builder-us-20
AMD Ryzen 9 7950X 4.5 GHz 16-Core Processor,,$699.00,16,4.5,5.7,170,https://www.amazon.com/dp/B0BBHD5D8Y?tag=bgfg-pc-builder-us-20
AMD Ryzen 7 5800X3D 3.4 GHz 8-Core Processor,4.9,$399.99,8,3.4,4.5,105,https://www.amazon.com/dp/B09VCJ2SHD?tag=bgfg-pc-builder-us-20
Intel Core Ultra 9 285K 3.7 GHz 24-Core Processor,,,24,3.7,N/A,125,https://www.amazon.com/s?k=Intel+Core+Ultra+9+285K+3.7+GHz+24-Core+Processor&tag=bgfg-pc-builder-us-20
Intel Core i7-14700KF 3.4 GHz 20-Core Processor,5.0,$392.59,20,3.4,5.6,125,https://www.amazon.com/dp/B0CGJC178L?tag=bgfg-pc-builder-us-20
Intel Core i5-14600KF 3.5 GHz 14-Core Processor,,$302.64,14,3.5,5.3,125,https://www.amazon.com/dp/B0CGJ4MLC8?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 4500 3.6 GHz 6-Core Processor,5.0,$125.00,6,3.6,4.1,65,https://www.amazon.com/dp/B09VCJN7HZ?tag=bgfg-pc-builder-us-20
Intel Core i5-13400F 2.5 GHz 10-Core Processor,5.0,$209.94,10,2.5,4.6,65,https://www.amazon.com/dp/B0BQ6BRL4T?tag=bgfg-pc-builder-us-20
AMD Ryzen 5 7600X3D 4.1 GHz 6-Core Processor,5.0,,6,4.1,N/A,65,https://www.amazon.com/s?k=AMD+Ryzen+5+7600X3D+4.1+GHz+6-Core+Processor&tag=bgfg-pc-builder-us-20
Intel Core i5-14400F 2.5 GHz 10-Core Processor,,$209.99,10,2.5,N/A,65,https://www.amazon.com/dp/B0CQ1Y7KHV?tag=bgfg-pc-builder-us-20
AMD Ryzen 9 5950X 3.4 GHz 16-Core Processor,5.0,$635.00,16,3.4,4.9,105,https://www.amazon.com/dp/B0815Y8J9N?tag=bgfg-pc-builder-us-20
Intel Core Ultra 7 265K 3.9 GHz 20-Core Processor,,,20,3.9,N/A,125,https://www.amazon.com/s?k=Intel+Core+Ultra+7+265K+3.9+GHz+20-Core+Processor&tag=bgfg-pc-builder-us-20
AMD Ryzen 5 8600G 4.3 GHz 6-Core Processor,,$229.00,6,4.3,N/A,65,https://www.amazon.com/s?k=AMD+Ryzen+5+8600G+4.3+GHz+6-Core+Processor&tag=bgfg-pc-builder-us-20
AMD Ryzen 7 5700G 3.8 GHz 8-Core Processor,4.9,$239.00,8,3.8,4.6,65,https://www.amazon.com/dp/B091J3NYVF?tag=bgfg-pc-builder-us-20
Intel Core i9-14900KF 3.2 GHz 24-Core Processor,,$544.03,24,3.2,6.0,125,https://www.amazon.com/dp/B0CGJDBCTK?tag=bgfg-pc-builder-us-20
AMD Threadripper 3990X 2.9 GHz 64-Core Processor,5.0,$8390.00,64,2.9,4.3,280,https://www.amazon.com/dp/B0815SBQ9W?tag=bgfg-pc-builder-us-20
