name,rating,price,type,color,power supply,side panel,"external 5.25"" bays","internal 3.5"" bays",link
Corsair 4000D Airflow ATX Mid Tower Case,4.8,$104.95,ATX Mid Tower,Black,None,Tinted Tempered Glass,N/A,2,https://www.amazon.com/dp/B08C7BGV3D?tag=bgfg-pc-builder-us-20
Montech XR ATX Mid Tower Case,5.0,$63.90,ATX Mid Tower,Black,None,Tempered Glass,N/A,2,https://www.amazon.com/dp/B0D5PHHCK5?tag=bgfg-pc-builder-us-20
NZXT H9 Flow ATX Mid Tower Case,5.0,$159.99,ATX Mid Tower,White,None,Tempered Glass,N/A,2,https://www.amazon.com/s?k=NZXT+H9+Flow+ATX+Mid+Tower+Case&tag=bgfg-pc-builder-us-20
NZXT H5 Flow ATX Mid Tower Case,5.0,$94.99,ATX Mid Tower,Black,None,Tempered Glass,N/A,1,https://www.amazon.com/dp/B0B6Y15C5L?tag=bgfg-pc-builder-us-20
NZXT H9 Flow ATX Mid Tower Case,5.0,,ATX Mid Tower,Black,None,Tempered Glass,N/A,2,https://www.amazon.com/s?k=NZXT+H9+Flow+ATX+Mid+Tower+Case&tag=bgfg-pc-builder-us-20
Phanteks XT PRO ATX Mid Tower Case,,$55.98,ATX Mid Tower,Black,None,Tempered Glass,N/A,2,https://www.amazon.com/dp/B0CV365B3B?tag=bgfg-pc-builder-us-20
Lian Li O11 Vision ATX Mid Tower Case,,,ATX Mid Tower,White,None,Tempered Glass,N/A,2,https://www.amazon.com/s?k=Lian+Li+O11+Vision+ATX+Mid+Tower+Case&tag=bgfg-pc-builder-us-20
Cooler Master MasterBox Q300L MicroATX Mini Tower Case,4.2,$59.97,MicroATX Mini Tower,Black,None,Acrylic,N/A,1,https://www.amazon.com/dp/B0785GRMPG?tag=bgfg-pc-builder-us-20
Montech AIR 903 MAX ATX Mid Tower Case,5.0,$74.99,ATX Mid Tower,Black,None,Tempered Glass,N/A,2,https://www.amazon.com/dp/B0C98RRPXL?tag=bgfg-pc-builder-us-20
Fractal Design North ATX Mid Tower Case,,$140.44,ATX Mid Tower,Black,None,Tempered Glass,N/A,2,https://www.amazon.com/s?k=Fractal+Design+North+ATX+Mid+Tower+Case&tag=bgfg-pc-builder-us-20
HYTE Y70 Touch Infinite ATX Mid Tower Case,,,ATX Mid Tower,White,None,Tempered Glass,N/A,2,https://www.amazon.com/s?k=HYTE+Y70+Touch+Infinite+ATX+Mid+Tower+Case&tag=bgfg-pc-builder-us-20
NZXT H5 Flow ATX Mid Tower Case,,$94.99,ATX Mid Tower,White,None,Tempered Glass,N/A,1,https://www.amazon.com/dp/B0B6YHDB2Y?tag=bgfg-pc-builder-us-20
