name,rating,price,fan rpm,noise level,color,link
Thermalright Peerless Assasin 120 SE 66.17 CFM CPU Cooler,5.0,$35.90,1550 RPM,25.6 dB,Black,https://www.amazon.com/dp/B09RWVV3XZ?tag=bgfg-pc-builder-us-20
Cooler Master Hyper 212 Black Edition 42 CFM CPU Cooler,4.6,$74.95,650 - 2000 RPM,6.5 - 26 dB,Black,https://www.amazon.com/dp/B07H25DYM3?tag=bgfg-pc-builder-us-20
ARCTIC Liquid Freezer III 56.3 CFM Liquid CPU Cooler,,$90.08,200 - 1800 RPM,N/A,Black,https://www.amazon.com/dp/B09VH1T1C2?tag=bgfg-pc-builder-us-20
Corsair iCUE H150i ELITE CAPELLIX XT 65.57 CFM Liquid CPU Cooler,5.0,$219.99,550 - 2100 RPM,5 - 34.1 dB,Black,https://www.amazon.com/dp/B0BQJ6QL7L?tag=bgfg-pc-builder-us-20
Thermalright Phantom Spirit 120 SE ARGB 66.17 CFM CPU Cooler,,$40.90,1500 RPM,25.6 dB,Black / Silver,https://www.amazon.com/dp/B0BR3JQTSN?tag=bgfg-pc-builder-us-20
NZXT Kraken Elite 360 RGB 78.02 CFM Liquid CPU Cooler,5.0,$298.99,500 - 1800 RPM,17.9 - 30.6 dB,White,https://www.amazon.com/dp/B0BY3HCW17?tag=bgfg-pc-builder-us-20
ARCTIC Liquid Freezer III A-RGB 48.82 CFM Liquid CPU Cooler,,$107.79,200 - 2000 RPM,N/A,Black,https://www.amazon.com/dp/B0CKXCP1LW?tag=bgfg-pc-builder-us-20
Noctua NH-D15 chromax.black 82.52 CFM CPU Cooler,4.9,$109.95,300 - 1500 RPM,19.2 - 24.6 dB,Black,https://www.amazon.com/dp/B07Y87YHRH?tag=bgfg-pc-builder-us-20
ARCTIC Liquid Freezer III 56.3 CFM Liquid CPU Cooler,4.0,$76.98,200 - 1800 RPM,N/A,Black,https://www.amazon.com/dp/B09VGX1WQH?tag=bgfg-pc-builder-us-20
NZXT Kraken Elite 360 RGB 78.02 CFM Liquid CPU Cooler,5.0,$298.99,500 - 1800 RPM,17.9 - 30.6 dB,Black,https://www.amazon.com/dp/B0BY3HMXD4?tag=bgfg-pc-builder-us-20
Thermalright Phantom Spirit 120 SE 66.17 CFM CPU Cooler,,,1500 RPM,25.6 dB,Black / Silver,https://www.amazon.com/s?k=Thermalright+Phantom+Spirit+120+SE+66.17+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
ARCTIC Liquid Freezer III A-RGB 48.82 CFM Liquid CPU Cooler,,$110.10,200 - 2000 RPM,N/A,White,https://www.amazon.com/dp/B09VGMGJ7W?tag=bgfg-pc-builder-us-20
Thermalright Assassin X 120 Refined SE 66.17 CFM CPU Cooler,5.0,$19.90,1550 RPM,25.6 dB,Black / Silver,https://www.amazon.com/dp/B09LHBFPJ6?tag=bgfg-pc-builder-us-20
Cooler Master MasterLiquid 360L Core Liquid CPU Cooler,5.0,$125.23,350 - 1750 RPM,27.2 dB,Black,https://www.amazon.com/dp/B0C4C421RZ?tag=bgfg-pc-builder-us-20
NZXT Kraken 240 78.02 CFM Liquid CPU Cooler,5.0,$139.99,500 - 1800 RPM,17.9 - 30.6 dB,Black,https://www.amazon.com/dp/B0BY3HNXMS?tag=bgfg-pc-builder-us-20
AMD Wraith Prism 2800 CFM CPU Cooler,,,2800 RPM,42 dB,N/A,https://www.amazon.com/s?k=AMD+Wraith+Prism+2800+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermalright Peerless Assassin 120 SE ARGB 66.17 CFM CPU Cooler,5.0,$39.90,1550 RPM,25.6 dB,Black,https://www.amazon.com/dp/B09NXPVH9D?tag=bgfg-pc-builder-us-20
NZXT Kraken 360 78.02 CFM Liquid CPU Cooler,,$179.99,500 - 1800 RPM,17.9 - 30.6 dB,Black,https://www.amazon.com/dp/B0BY3J3ZPZ?tag=bgfg-pc-builder-us-20
