name,rating,price,chipset,memory,core clock,boost clock,color,length,link
MSI GeForce RTX 3060 Ventus 2X 12G GeForce RTX 3060 12 GB Graphics Card,4.5,$365.48,GeForce RTX 3060,12 GB,1320 MHz,1777 MHz,Black,235 mm,https://www.amazon.com/dp/B08WPRMVWB?tag=bgfg-pc-builder-us-20
MSI VENTUS 2X BLACK OC GeForce RTX 4060 8 GB Video Card,,$299.00,GeForce RTX 4060,8 GB,1830 MHz,2505 MHz,Black,199 mm,https://www.amazon.com/dp/B0C8BPW1SP?tag=bgfg-pc-builder-us-20
Asus TUF GAMING OC GeForce RTX 4070 Ti SUPER 16 GB Video Card,5.0,$839.99,GeForce RTX 4070 Ti SUPER,16 GB,2340 MHz,2670 MHz,Black,305 mm,https://www.amazon.com/dp/B0CQPXD5WD?tag=bgfg-pc-builder-us-20
NVIDIA Founders Edition GeForce RTX 5090 32 GB Video Card,,,GeForce RTX 5090,32 GB,2017 MHz,2407 MHz,Black / Silver,304 mm,https://www.amazon.com/s?k=NVIDIA+Founders+Edition+GeForce+RTX+5090+32+GB+Video+Card&tag=bgfg-pc-builder-us-20
ASRock Challenger D Radeon RX 6600 8 GB Graphics Card,4.6,$249.99,Radeon RX 6600,8 GB,1626 MHz,N/A,Black,269 mm,https://www.amazon.com/s?k=ASRock+Challenger+D+Radeon+RX+6600+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Gigabyte GAMING OC Radeon RX 7700 XT 12 GB Video Card,4.0,$439.99,Radeon RX 7700 XT,12 GB,1700 MHz,2599 MHz,Black,302 mm,https://www.amazon.com/dp/B0CGC5P7H3?tag=bgfg-pc-builder-us-20
Gigabyte GAMING OC Radeon RX 7600 XT 16 GB Video Card,,$329.99,Radeon RX 7600 XT,16 GB,1720 MHz,N/A,Black / Gray,281 mm,https://www.amazon.com/dp/B0CSVJZNNX?tag=bgfg-pc-builder-us-20
Gigabyte WINDFORCE OC GeForce RTX 4070 SUPER 12 GB Video Card,,$599.99,GeForce RTX 4070 SUPER,12 GB,1980 MHz,2505 MHz,Black,261 mm,https://www.amazon.com/dp/B0CSJV61BN?tag=bgfg-pc-builder-us-20
Gigabyte GAMING OC Radeon RX 7800 XT 16 GB Video Card,5.0,$549.99,Radeon RX 7800 XT,16 GB,1295 MHz,2565 MHz,Black,302 mm,https://www.amazon.com/dp/B0CGHQ32S2?tag=bgfg-pc-builder-us-20
MSI VENTUS 2X OC GeForce RTX 4070 12 GB Video Card,5.0,$599.99,GeForce RTX 4070,12 GB,1920 MHz,2520 MHz,Silver / Black,242 mm,https://www.amazon.com/s?k=MSI+VENTUS+2X+OC+GeForce+RTX+4070+12+GB+Video+Card&tag=bgfg-pc-builder-us-20
Asus ROG STRIX GAMING OC GeForce RTX 4090 24 GB Video Card,4.0,$1999.99,GeForce RTX 4090,24 GB,2235 MHz,2640 MHz,Black,358 mm,https://www.amazon.com/dp/B0BGT61797?tag=bgfg-pc-builder-us-20
MSI VENTUS 3X OC GeForce RTX 4080 SUPER 16 GB Video Card,5.0,$1029.99,GeForce RTX 4080 SUPER,16 GB,2210 MHz,2595 MHz,Black,322 mm,https://www.amazon.com/dp/B0CSZBB691?tag=bgfg-pc-builder-us-20
Asus DUAL EVO OC GeForce RTX 4070 SUPER 12 GB Video Card,,,GeForce RTX 4070 SUPER,12 GB,1980 MHz,2550 MHz,Black,227 mm,https://www.amazon.com/s?k=Asus+DUAL+EVO+OC+GeForce+RTX+4070+SUPER+12+GB+Video+Card&tag=bgfg-pc-builder-us-20
Asus TUF GAMING OC GeForce RTX 4080 SUPER 16 GB Video Card,,$1099.99,GeForce RTX 4080 SUPER,16 GB,2210 MHz,2640 MHz,Black,348 mm,https://www.amazon.com/dp/B0CQPZTRL3?tag=bgfg-pc-builder-us-20
Gigabyte WINDFORCE OC GeForce RTX 4060 8 GB Video Card,,$299.99,GeForce RTX 4060,8 GB,1830 MHz,N/A,Black,192 mm,https://www.amazon.com/dp/B0C8JZNLZL?tag=bgfg-pc-builder-us-20
XFX Speedster QICK 319 Core Radeon RX 6750 XT 12 GB Graphics Card,,$399.99,Radeon RX 6750 XT,12 GB,2150 MHz,2600 MHz,Black,323 mm,https://www.amazon.com/dp/B0B34M1YLW?tag=bgfg-pc-builder-us-20
NVIDIA Founders Edition GeForce RTX 4090 24 GB Video Card,5.0,$2498.98,GeForce RTX 4090,24 GB,2230 MHz,2520 MHz,Black / Silver,304 mm,https://www.amazon.com/dp/B0BJFRT43X?tag=bgfg-pc-builder-us-20
Sapphire PULSE Radeon RX 7800 XT 16 GB Video Card,5.0,$539.99,Radeon RX 7800 XT,16 GB,1295 MHz,N/A,Black / Red,280 mm,https://www.amazon.com/dp/B0CFWM1LNH?tag=bgfg-pc-builder-us-20
PNY VCNRTX6000ADA-PB RTX 6000 Ada Generation 48 GB Video Card,,$8562.99,RTX 6000 Ada Generation,48 GB,915 MHz,2505 MHz,Black / Gold,267 mm,https://www.amazon.com/s?k=PNY+VCNRTX6000ADA-PB+RTX+6000+Ada+Generation+48+GB+Video+Card&tag=bgfg-pc-builder-us-20
XFX Speedster QICK 319 Core Radeon RX 7800 XT 16 GB Video Card,4.5,$519.99,Radeon RX 7800 XT,16 GB,1295 MHz,2430 MHz,Black,335 mm,https://www.amazon.com/dp/B0CGM92TW8?tag=bgfg-pc-builder-us-20
XFX Speedster MERC 310 Black Edition Radeon RX 7900 XTX 24 GB Video Card,,$1149.99,Radeon RX 7900 XTX,24 GB,2300 MHz,2615 MHz,Black / Silver,344 mm,https://www.amazon.com/dp/B0BNLSW23M?tag=bgfg-pc-builder-us-20
XFX Speedster MERC 310 Radeon RX 7900 XT 20 GB Video Card,,$949.99,Radeon RX 7900 XT,20 GB,2000 MHz,2535 MHz,Black / Silver,344 mm,https://www.amazon.com/dp/B0BNLT17XQ?tag=bgfg-pc-builder-us-20
Gigabyte WINDFORCE OC GeForce RTX 4070 12 GB Video Card,5.0,$599.99,GeForce RTX 4070,12 GB,1920 MHz,2490 MHz,Black,261 mm,https://www.amazon.com/dp/B0BZHCQ6PF?tag=bgfg-pc-builder-us-20
Asus DUAL EVO OC GeForce RTX 4060 Ti 16 GB Video Card,,$449.99,GeForce RTX 4060 Ti,16 GB,2310 MHz,2625 MHz,Black,227 mm,https://www.amazon.com/s?k=Asus+DUAL+EVO+OC+GeForce+RTX+4060+Ti+16+GB+Video+Card&tag=bgfg-pc-builder-us-20
XFX GTR XXX Radeon RX 580 8 GB Graphics Card,4.7,$149.99,Radeon RX 580,8 GB,1366 MHz,1386 MHz,Black / Red,270 mm,https://www.amazon.com/s?k=XFX+GTR+XXX+Radeon+RX+580+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
MSI VENTUS 2X OC GeForce RTX 4070 SUPER 12 GB Video Card,5.0,$619.99,GeForce RTX 4070 SUPER,12 GB,1980 MHz,2520 MHz,White,242 mm,https://www.amazon.com/dp/B0CS77KMC2?tag=bgfg-pc-builder-us-20
Sapphire PULSE Radeon RX 7900 XT 20 GB Video Card,,,Radeon RX 7900 XT,20 GB,2000 MHz,2450 MHz,Black / Red,313 mm,https://www.amazon.com/s?k=Sapphire+PULSE+Radeon+RX+7900+XT+20+GB+Video+Card&tag=bgfg-pc-builder-us-20
Asus Dual GeForce RTX 3060 V2 OC Edition GeForce RTX 3060 12 GB Graphics Card,,$409.99,GeForce RTX 3060,12 GB,1320 MHz,1867 MHz,Black,200 mm,https://www.amazon.com/dp/B0985X2YR1?tag=bgfg-pc-builder-us-20
