name,rating,price,screen size,resolution,refresh rate,response time (G2G),panel type,aspect ratio,link
"LG 65EP5G-B 65.0"" 3840 x 2160 120 Hz Monitor",,$13999.00,"65""",3840 x 2160,120 Hz,0.1 ms,OLED,16:9,https://www.amazon.com/s?k=LG+65EP5G-B+65.0%22+3840+x+2160+120+Hz+Monitor&tag=bgfg-pc-builder-us-20
"KOORUI 24E3 24.0"" 1920 x 1080 165 Hz Monitor",4.0,$115.99,"24""",1920 x 1080,165 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0BCDD4KTK?tag=bgfg-pc-builder-us-20
"Asus TUF Gaming VG27AQ 27.0"" 2560 x 1440 165 Hz Monitor",4.8,$299.00,"27""",2560 x 1440,165 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B07WQ4FXY9?tag=bgfg-pc-builder-us-20
"MSI MAG 275QF 27.0"" 2560 x 1440 180 Hz Monitor",,$189.99,"27""",2560 x 1440,180 Hz,0.5 ms,IPS,16:9,https://www.amazon.com/dp/B0D68BYX1K?tag=bgfg-pc-builder-us-20
"AOC C27G2Z 27.0"" 1920 x 1080 240 Hz Curved Monitor",4.0,$179.99,"27""",1920 x 1080,240 Hz,N/A,VA,16:9,https://www.amazon.com/dp/B088LG2BSW?tag=bgfg-pc-builder-us-20
"Asus ROG Swift OLED PG32UCDM 31.5"" 3840 x 2160 240 Hz Monitor",,$1299.00,"31.5""",3840 x 2160,240 Hz,0.03 ms,QD-OLED,16:9,https://www.amazon.com/s?k=Asus+ROG+Swift+OLED+PG32UCDM+31.5%26quot%3B+3840+x+2160+240+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Dell G2724D 27.0"" 2560 x 1440 165 Hz Monitor",,$299.99,"27""",2560 x 1440,165 Hz,1 ms,IPS,16:9,https://www.amazon.com/s?k=Dell+G2724D+27.0%22+2560+x+1440+165+Hz+Monitor&tag=bgfg-pc-builder-us-20
"MSI G255F 24.5"" 1920 x 1080 180 Hz Monitor",,$119.99,"24.5""",1920 x 1080,180 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0CX8496ZP?tag=bgfg-pc-builder-us-20
"Samsung Odyssey OLED G8 32.0"" 3840 x 2160 240 Hz Monitor",,$1099.98,"32""",3840 x 2160,240 Hz,0.03 ms,OLED,16:9,https://www.amazon.com/dp/B0D1DSXW17?tag=bgfg-pc-builder-us-20
"Asus ROG Swift OLED PG27AQDP 26.5"" 2560 x 1440 480 Hz Monitor",,$999.99,"26.5""",2560 x 1440,480 Hz,0.03 ms,OLED,16:9,https://www.amazon.com/dp/B0D7NXSQ44?tag=bgfg-pc-builder-us-20
"Acer Acer Nitro XV272U W2bmiiprx 27.0"" 2560 x 1440 240 Hz Monitor",4.0,$399.97,"27""",2560 x 1440,240 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0C1T35BCF?tag=bgfg-pc-builder-us-20
"Asus ProArt Display PA32DC 31.5"" 3840 x 2160 60 Hz Monitor",,$3499.00,"31.5""",3840 x 2160,60 Hz,0.1 ms,OLED,16:9,https://www.amazon.com/dp/B09XJMVXJ6?tag=bgfg-pc-builder-us-20
"Samsung Odyssey Neo G95NC 57.0"" 7680 x 2160 240 Hz Curved Monitor",,$1799.99,"57""",7680 x 2160,240 Hz,1 ms,VA,32:9,https://www.amazon.com/dp/B0CDQM55C9?tag=bgfg-pc-builder-us-20
"Samsung Odyssey G9 G93SC 49.0"" 5120 x 1440 240 Hz Curved Monitor",,$1099.99,"49""",5120 x 1440,240 Hz,0.03 ms,OLED,32:9,https://www.amazon.com/dp/B0CDQMQQS2?tag=bgfg-pc-builder-us-20
"Asus ROG Swift Pro PG248QP 24.1"" 1920 x 1080 540 Hz Monitor",,$899.00,"24.1""",1920 x 1080,540 Hz,0.2 ms,TN,16:9,https://www.amazon.com/dp/B0CC7S6P3K?tag=bgfg-pc-builder-us-20
"Dell G2725D 27.0"" 2560 x 1440 180 Hz Monitor",,$169.99,"27""",2560 x 1440,180 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0DGMQ2M1G?tag=bgfg-pc-builder-us-20
"Alienware AW3423DWF 34.2"" 3440 x 1440 165 Hz Curved Monitor",,$1099.99,"34.18""",3440 x 1440,165 Hz,0.1 ms,QD-OLED,21:9,https://www.amazon.com/s?k=Alienware+AW3423DWF+34.2%22+3440+x+1440+165+Hz+Curved+Monitor&tag=bgfg-pc-builder-us-20
"Samsung Odyssey G60SD 27.0"" 2560 x 1440 360 Hz Monitor",,$801.52,"27""",2560 x 1440,360 Hz,0.03 ms,QD-OLED,16:9,https://www.amazon.com/dp/B0D1DPFZLZ?tag=bgfg-pc-builder-us-20
"Asus TUF Gaming VG279QM 27.0"" 1920 x 1080 280 Hz Monitor",5.0,$289.99,"27""",1920 x 1080,280 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0845QFDVM?tag=bgfg-pc-builder-us-20
