name,rating,price,socket/cpu,form factor,memory max,memory slots,link
MSI B650 GAMING PLUS WIFI ATX AM5 Motherboard,,$179.99,AM5,ATX,192 GB,4,https://www.amazon.com/dp/B0CB6XZ7RH?tag=bgfg-pc-builder-us-20
MSI MAG B650 TOMAHAWK WIFI ATX AM5 Motherboard,4.0,$259.99,AM5,ATX,128 GB,4,https://www.amazon.com/s?k=MSI+MAG+B650+TOMAHAWK+WIFI+ATX+AM5+Motherboard&tag=bgfg-pc-builder-us-20
MSI B550 GAMING GEN3 ATX AM4 Motherboard,,$112.99,AM4,ATX,128 GB,4,https://www.amazon.com/dp/B0BHCL4YVS?tag=bgfg-pc-builder-us-20
Gigabyte B650 EAGLE AX ATX AM5 Motherboard,,$159.99,AM5,ATX,192 GB,4,https://www.amazon.com/dp/B083TZ68H1?tag=bgfg-pc-builder-us-20
Gigabyte X870E AORUS ELITE WIFI7 ATX AM5 Motherboard,5.0,$319.99,AM5,ATX,256 GB,4,https://www.amazon.com/dp/B0DGVBM73J?tag=bgfg-pc-builder-us-20
Asus PRIME B550M-A WIFI II Micro ATX AM4 Motherboard,,$158.99,AM4,Micro ATX,128 GB,4,https://www.amazon.com/dp/B0B5M97W1T?tag=bgfg-pc-builder-us-20
MSI B760 GAMING PLUS WIFI ATX LGA1700 Motherboard,,$159.99,LGA1700,ATX,192 GB,4,https://www.amazon.com/dp/B0C15THTK7?tag=bgfg-pc-builder-us-20
MSI PRO B650-S WIFI ATX AM5 Motherboard,,,AM5,ATX,192 GB,4,https://www.amazon.com/s?k=MSI+PRO+B650-S+WIFI+ATX+AM5+Motherboard&tag=bgfg-pc-builder-us-20
MSI MAG X870 TOMAHAWK WIFI ATX AM5 Motherboard,,$299.99,AM5,ATX,256 GB,4,https://www.amazon.com/dp/B0DG3HK897?tag=bgfg-pc-builder-us-20
MSI B550M PRO-VDH WIFI Micro ATX AM4 Motherboard,4.7,$119.99,AM4,Micro ATX,128 GB,4,https://www.amazon.com/dp/B089D1YG11?tag=bgfg-pc-builder-us-20
Gigabyte X870 EAGLE WIFI7 ATX AM5 Motherboard,,$229.99,AM5,ATX,256 GB,4,https://www.amazon.com/dp/B0DGVMYTW6?tag=bgfg-pc-builder-us-20
MSI PRO B650M-P Micro ATX AM5 Motherboard,,$119.99,AM5,Micro ATX,192 GB,4,https://www.amazon.com/dp/B0C7SJFDXK?tag=bgfg-pc-builder-us-20
Asus ROG STRIX B650-A GAMING WIFI ATX AM5 Motherboard,,$279.99,AM5,ATX,128 GB,4,https://www.amazon.com/dp/B0BHMW8R6S?tag=bgfg-pc-builder-us-20
Gigabyte A520M K V2 Micro ATX AM4 Motherboard,,$77.50,AM4,Micro ATX,64 GB,2,https://www.amazon.com/dp/B0BXFBN121?tag=bgfg-pc-builder-us-20
MSI MAG B550 TOMAHAWK MAX WIFI ATX AM4 Motherboard,5.0,$198.99,AM4,ATX,128 GB,4,https://www.amazon.com/s?k=MSI+MAG+B550+TOMAHAWK+MAX+WIFI+ATX+AM4+Motherboard&tag=bgfg-pc-builder-us-20
MSI PRO Z790-A MAX WIFI ATX LGA1700 Motherboard,,$259.99,LGA1700,ATX,192 GB,4,https://www.amazon.com/dp/B0CJSJ9TB3?tag=bgfg-pc-builder-us-20
Asus Prime B450M-A II Micro ATX AM4 Motherboard,4.5,$79.98,AM4,Micro ATX,128 GB,4,https://www.amazon.com/dp/B08KH12V25?tag=bgfg-pc-builder-us-20
Gigabyte B550M K Micro ATX AM4 Motherboard,,$89.99,AM4,Micro ATX,128 GB,4,https://www.amazon.com/s?k=Gigabyte+B550M+K+Micro+ATX+AM4+Motherboard&tag=bgfg-pc-builder-us-20
Gigabyte X870E AORUS PRO ICE ATX AM5 Motherboard,,$359.99,AM5,ATX,256 GB,4,https://www.amazon.com/dp/B0DGVBSLLP?tag=bgfg-pc-builder-us-20
ASRock B650M Pro RS WiFi Micro ATX AM5 Motherboard,5.0,$149.99,AM5,Micro ATX,192 GB,4,https://www.amazon.com/s?k=ASRock+B650M+Pro+RS+WiFi+Micro+ATX+AM5+Motherboard&tag=bgfg-pc-builder-us-20
Asus ROG STRIX Z790-A GAMING WIFI II ATX LGA1700 Motherboard,,$359.99,LGA1700,ATX,192 GB,4,https://www.amazon.com/dp/B0CJMR6652?tag=bgfg-pc-builder-us-20
Asus TUF GAMING B650-PLUS WIFI ATX AM5 Motherboard,5.0,$239.99,AM5,ATX,128 GB,4,https://www.amazon.com/dp/B0BHN7GGBQ?tag=bgfg-pc-builder-us-20
Asus ROG STRIX B550-F GAMING WIFI II ATX AM4 Motherboard,5.0,$191.99,AM4,ATX,128 GB,4,https://www.amazon.com/dp/B09GP7P1XS?tag=bgfg-pc-builder-us-20
MSI MAG X670E TOMAHAWK WIFI ATX AM5 Motherboard,,,AM5,ATX,128 GB,4,https://www.amazon.com/s?k=MSI+MAG+X670E+TOMAHAWK+WIFI+ATX+AM5+Motherboard&tag=bgfg-pc-builder-us-20
MSI PRO B550M-VC WIFI Micro ATX AM4 Motherboard,4.8,$109.99,AM4,Micro ATX,128 GB,4,https://www.amazon.com/dp/B0BDCZRBD6?tag=bgfg-pc-builder-us-20
ASRock B650M PG Lightning Wifi Micro ATX AM5 Motherboard,,,AM5,Micro ATX,192 GB,4,https://www.amazon.com/s?k=ASRock+B650M+PG+Lightning+Wifi+Micro+ATX+AM5+Motherboard&tag=bgfg-pc-builder-us-20
Gigabyte X870 AORUS ELITE WIFI7 ICE ATX AM5 Motherboard,,$289.99,AM5,ATX,256 GB,4,https://www.amazon.com/dp/B0DGVGRVLQ?tag=bgfg-pc-builder-us-20
Asus ROG STRIX B650E-F GAMING WIFI ATX AM5 Motherboard,,$299.99,AM5,ATX,128 GB,4,https://www.amazon.com/dp/B0BHMTYZKZ?tag=bgfg-pc-builder-us-20
ASRock X870 Pro RS WiFi ATX AM5 Motherboard,5.0,$269.99,AM5,ATX,256 GB,4,https://www.amazon.com/dp/B0DGB9VXRY?tag=bgfg-pc-builder-us-20
MSI B550-A PRO ATX AM4 Motherboard,4.8,$139.99,AM4,ATX,128 GB,4,https://www.amazon.com/dp/B089CZSQB4?tag=bgfg-pc-builder-us-20
