name,rating,price,type,efficiency rating,wattage,modular,link
Corsair RM750e (2023) 750 W 80+ Gold Certified Fully Modular ATX Power Supply,4.9,$99.99,ATX,80+ Gold,750 W,Full,https://www.amazon.com/dp/B0BYR1BXC6?tag=bgfg-pc-builder-us-20
Corsair RM850e (2023) 850 W 80+ Gold Certified Fully Modular ATX Power Supply,4.4,$114.99,ATX,80+ Gold,850 W,Full,https://www.amazon.com/dp/B0BYQPH5J3?tag=bgfg-pc-builder-us-20
Corsair RM1000e (2023) 1000 W 80+ Gold Certified Fully Modular ATX Power Supply,4.5,$159.99,ATX,80+ Gold,1000 W,Full,https://www.amazon.com/dp/B0BYQHWJXC?tag=bgfg-pc-builder-us-20
Corsair RM650 (2023) 650 W 80+ Gold Certified Fully Modular ATX Power Supply,5.0,$79.99,ATX,80+ Gold,650 W,Full,https://www.amazon.com/s?k=Corsair+RM650+%282023%29+650+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
MSI MAG A650BN 650 W 80+ Bronze Certified ATX Power Supply,,,ATX,80+ Bronze,650 W,No,https://www.amazon.com/s?k=MSI+MAG+A650BN+650+W+80%2B+Bronze+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
MSI MAG A750GL PCIE5 750 W 80+ Gold Certified Fully Modular ATX Power Supply,5.0,$93.99,ATX,80+ Gold,750 W,Full,https://www.amazon.com/dp/B0CC3QBGDL?tag=bgfg-pc-builder-us-20
MSI MAG A850GL PCIE5 850 W 80+ Gold Certified Fully Modular ATX Power Supply,4.8,$111.99,ATX,80+ Gold,850 W,Full,https://www.amazon.com/dp/B0CB9MSJ5N?tag=bgfg-pc-builder-us-20
Corsair SF1000 (2024) 1000 W 80+ Platinum Certified Fully Modular SFX Power Supply,,$239.99,SFX,80+ Platinum,1000 W,Full,https://www.amazon.com/dp/B0D45RN3KZ?tag=bgfg-pc-builder-us-20
MSI MAG A550BN 550 W 80+ Bronze Certified ATX Power Supply,,,ATX,80+ Bronze,550 W,No,https://www.amazon.com/s?k=MSI+MAG+A550BN+550+W+80%2B+Bronze+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Thermaltake Smart 500 W 80+ Certified ATX Power Supply,4.5,$34.99,ATX,80+,500 W,No,https://www.amazon.com/dp/B014W3EM2W?tag=bgfg-pc-builder-us-20
Corsair RM850 850 W 80+ Gold Certified Fully Modular ATX Power Supply,4.9,$139.95,ATX,80+ Gold,850 W,Full,https://www.amazon.com/dp/B093RCJRNS?tag=bgfg-pc-builder-us-20
Gigabyte UD750GM 750 W 80+ Gold Certified Fully Modular ATX Power Supply,4.5,$86.98,ATX,80+ Gold,750 W,Full,https://www.amazon.com/dp/B09VK3TVK2?tag=bgfg-pc-builder-us-20
MSI MAG A650GL 650 W 80+ Gold Certified Fully Modular ATX Power Supply,5.0,$79.98,ATX,80+ Gold,650 W,Full,https://www.amazon.com/dp/B0CGFZVGF9?tag=bgfg-pc-builder-us-20
Corsair SF750 (2024) 750 W 80+ Platinum Certified Fully Modular SFX Power Supply,5.0,$179.99,SFX,80+ Platinum,750 W,Full,https://www.amazon.com/dp/B0D45QCZHX?tag=bgfg-pc-builder-us-20
Thermaltake Toughpower GX2 600 W 80+ Gold Certified ATX Power Supply,4.7,$49.99,ATX,80+ Gold,600 W,No,https://www.amazon.com/dp/B087CDR14Z?tag=bgfg-pc-builder-us-20
MSI MAG A850GL PCIE5 850 W 80+ Gold Certified Fully Modular ATX Power Supply,4.7,$129.99,ATX,80+ Gold,850 W,Full,https://www.amazon.com/dp/B0CT41HW5J?tag=bgfg-pc-builder-us-20
Silverstone HELA 2050 W Fully Modular ATX Power Supply,,$703.00,ATX,N/A,2050 W,Full,https://www.amazon.com/dp/B09NVR44C1?tag=bgfg-pc-builder-us-20
Corsair RM850x (2021) 850 W 80+ Gold Certified Fully Modular ATX Power Supply,4.8,$149.99,ATX,80+ Gold,850 W,Full,https://www.amazon.com/dp/B08R5JPTMZ?tag=bgfg-pc-builder-us-20
Cooler Master MWE Gold 850 - V2 850 W 80+ Gold Certified Fully Modular ATX Power Supply,,$134.99,ATX,80+ Gold,850 W,Full,https://www.amazon.com/dp/B08M9M6DB9?tag=bgfg-pc-builder-us-20
be quiet! Dark Power 13 1000 W 80+ Titanium Certified Fully Modular ATX Power Supply,,$289.90,ATX,80+ Titanium,1000 W,Full,https://www.amazon.com/s?k=be+quiet%21+Dark+Power+13+1000+W+80%2B+Titanium+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
