name,rating,price,modules,price/gb,color,first word latency,cas latency,link
Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL36 Memory,5.0,$102.99,2 x 16GB,$3.218,Black,12 ns,12 ns,https://www.amazon.com/dp/B0BZHTVHN5?tag=bgfg-pc-builder-us-20
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory,4.8,$59.99,2 x 8GB,$3.749,Black / Yellow,10 ns,10 ns,https://www.amazon.com/dp/B0143UM4TC?tag=bgfg-pc-builder-us-20
Corsair Vengeance 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory,,$109.99,2 x 16GB,$3.437,Black / Gray,10 ns,10 ns,https://www.amazon.com/dp/B0C3RYHZJQ?tag=bgfg-pc-builder-us-20
G.Skill Trident Z5 RGB 64 GB (2 x 32 GB) DDR5-6400 CL32 Memory,,$454.99,2 x 32GB,$6.797,Black / Silver,10 ns,10 ns,https://www.amazon.com/dp/B0BJ7X9P1W?tag=bgfg-pc-builder-us-20
TEAMGROUP T-Create Expert 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory,5.0,$99.99,2 x 16GB,$3.125,Black,10 ns,10 ns,https://www.amazon.com/dp/B0C4NM8NMC?tag=bgfg-pc-builder-us-20
Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3600 CL18 Memory,4.8,$104.99,2 x 16GB,$3.125,Black,10 ns,10 ns,https://www.amazon.com/dp/B082DGZJ9C?tag=bgfg-pc-builder-us-20
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3600 CL18 Memory,4.8,$104.99,2 x 16GB,$3.281,Black / Yellow,10 ns,10 ns,https://www.amazon.com/dp/B07ZPLM1R1?tag=bgfg-pc-builder-us-20
TEAMGROUP T-Force Delta RGB 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory,,$239.99,2 x 16GB,$7.500,White,10 ns,10 ns,https://www.amazon.com/dp/B0B3HGJ4V7?tag=bgfg-pc-builder-us-20
G.Skill Flare X5 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory,,,2 x 16GB,N/A,Black,10 ns,10 ns,https://www.amazon.com/s?k=G.Skill+Flare+X5+32+GB+%282+x+16+GB%29+DDR5-6000+CL30+Memory&tag=bgfg-pc-builder-us-20
G.Skill Trident Z5 Neo RGB 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory,,$279.99,2 x 16GB,$8.125,Black,10 ns,10 ns,https://www.amazon.com/dp/B0BF8FVLSL?tag=bgfg-pc-builder-us-20
G.Skill Ripjaws V 32 GB (2 x 16 GB) DDR4-3200 CL16 Memory,4.9,$89.99,2 x 16GB,$2.781,Black,10 ns,10 ns,https://www.amazon.com/dp/B0171GQR0C?tag=bgfg-pc-builder-us-20
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3200 CL16 Memory,4.8,$89.99,2 x 16GB,$2.812,Black / Yellow,10 ns,10 ns,https://www.amazon.com/dp/B07RW6Z692?tag=bgfg-pc-builder-us-20
Corsair Vengeance 64 GB (2 x 32 GB) DDR5-5200 CL40 Memory,,$279.99,2 x 32GB,$4.219,Black,15.385 ns,15.385 ns,https://www.amazon.com/dp/B09R7S7PXC?tag=bgfg-pc-builder-us-20
Corsair Vengeance RGB 64 GB (2 x 32 GB) DDR5-6000 CL30 Memory,,$244.99,2 x 32GB,$3.672,Black,10 ns,10 ns,https://www.amazon.com/dp/B0C4Y588R7?tag=bgfg-pc-builder-us-20
Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL36 Memory,,$254.99,2 x 16GB,$7.343,White,12 ns,12 ns,https://www.amazon.com/dp/B0B7748PX5?tag=bgfg-pc-builder-us-20
Silicon Power GAMING 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory,4.6,$44.97,2 x 8GB,$2.811,Black / Gray,10 ns,10 ns,https://www.amazon.com/dp/B08QV1V17R?tag=bgfg-pc-builder-us-20
