name,rating,price,capacity,price/gb,type,cache,form factor,interface,link
Kingston NV2 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$79.30,1 TB,$0.128,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0BBWH1R8H?tag=bgfg-pc-builder-us-20
Samsung 990 Pro 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$304.23,2 TB,$0.152,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=Samsung+990+Pro+2+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Crucial P3 Plus 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$179.99,2 TB,$0.090,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0B25ML2FH?tag=bgfg-pc-builder-us-20
Crucial P3 Plus 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,$94.99,1 TB,$0.095,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0B25NXWC7?tag=bgfg-pc-builder-us-20
Samsung 990 Pro 4 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,4 TB,N/A,SSD,4096 MB,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=Samsung+990+Pro+4+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Western Digital Black SN850X 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$229.99,2 TB,$0.100,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0B7CMZ3QH?tag=bgfg-pc-builder-us-20
Samsung 980 Pro 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,$129.99,1 TB,$0.130,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B08GLX7TNT?tag=bgfg-pc-builder-us-20
"Seagate Barracuda Compute 2 TB 3.5"" 7200 RPM Internal Hard Drive",4.7,$49.99,2 TB,$0.025,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B07H2RR55Q?tag=bgfg-pc-builder-us-20
Western Digital Black SN770 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,$98.95,1 TB,$0.080,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B09QV692XY?tag=bgfg-pc-builder-us-20
Western Digital Black SN770 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,$179.99,2 TB,$0.090,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B09QV5KJHV?tag=bgfg-pc-builder-us-20
Samsung 990 Pro 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$169.99,1 TB,$0.170,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=Samsung+990+Pro+1+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
